DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,65.0,2.1,3017.5,0.6,0.0,1014.2,122.0
2023-12-31 23:00:00,42.5,2.1,7242.25,0.98,0.0,1014.13,251.5
2023-12-31 22:00:00,50.0,2.6,14484.0,1.1,0.0,1013.7,701.0
2023-12-31 21:00:00,35.0,2.6,11503.75,1.1,0.0,1013.4,660.67
2023-12-31 20:00:00,50.0,2.6,14484.0,1.1,0.0,1013.2,762.0
2023-12-31 19:00:00,70.0,2.1,14484.0,1.1,0.0,1013.2,762.0
2023-12-31 18:00:00,50.0,0.72,12743.4,1.58,0.0,1013.42,495.25
2023-12-31 17:00:00,50.0,0.87,15020.33,1.8,-0.73,1013.63,680.67
2023-12-31 16:00:00,70.0,1.5,16093.0,1.1,-1.1,1014.2,1067.0
2023-12-31 15:00:00,,0.0,16046.5,1.1,-1.1,1014.2,1158.0
2023-12-31 14:00:00,,0.0,16093.0,0.6,-1.7,1013.5,1280.0
2023-12-31 13:00:00,120.0,2.1,16093.0,0.0,-2.2,1013.5,1341.0
2023-12-31 12:00:00,100.0,2.1,16046.5,0.0,-2.8,1013.5,1250.0
2023-12-31 11:00:00,,0.0,16093.0,0.0,-2.8,1013.2,1219.0
2023-12-31 10:00:00,,0.0,16093.0,0.0,-2.8,1012.9,1250.0
2023-12-31 09:00:00,,0.0,16046.5,0.0,-3.3,1012.9,1036.0
2023-12-31 08:00:00,,0.0,16093.0,0.0,-2.8,1012.9,975.0
2023-12-31 07:00:00,,0.0,16093.0,0.0,-3.3,1012.5,1006.0
2023-12-31 06:00:00,340.0,1.5,16046.5,0.0,-3.3,1012.2,914.0
2023-12-31 05:00:00,290.0,2.35,16093.0,0.0,-3.3,1011.9,792.5
2023-12-31 04:00:00,300.0,2.6,16093.0,0.0,-2.8,1011.7,807.5
2023-12-31 03:00:00,330.0,2.6,16046.5,0.6,-3.3,1010.8,1219.0
2023-12-31 02:00:00,300.0,3.1,16093.0,0.6,-3.3,1010.8,1067.0
2023-12-31 01:00:00,280.0,3.1,16093.0,0.6,-3.3,1010.5,975.0
2023-12-31 00:00:00,290.0,4.27,16062.0,0.6,-3.9,1010.0,853.0
2023-12-30 23:00:00,280.0,4.1,16093.0,0.6,-3.9,1009.5,732.0
2023-12-30 22:00:00,260.0,3.6,16093.0,0.6,-3.3,1008.8,671.0
2023-12-30 21:00:00,260.0,4.1,16046.5,0.0,-3.3,1007.8,549.0
2023-12-30 20:00:00,280.0,4.6,16093.0,0.0,-3.3,1007.5,457.0
2023-12-30 19:00:00,280.0,5.1,16093.0,0.6,-3.3,1006.8,610.0
2023-12-30 18:00:00,300.0,5.1,16046.5,0.0,-3.3,1006.8,549.0
2023-12-30 17:00:00,280.0,4.1,16093.0,0.6,-2.8,1006.8,549.0
2023-12-30 16:00:00,290.0,4.5,11265.25,0.6,-1.52,1007.02,358.0
2023-12-30 15:00:00,312.5,4.1,8687.5,0.7,-0.7,1006.67,355.33
2023-12-30 14:00:00,323.33,4.8,10192.33,0.6,-0.2,1006.3,203.0
2023-12-30 13:00:00,330.0,5.7,16093.0,1.1,0.0,1005.8,640.0
2023-12-30 12:00:00,320.0,4.6,4285.33,1.1,0.6,1005.25,137.0
2023-12-30 11:00:00,315.0,4.6,4828.0,1.4,0.85,1004.9,183.0
2023-12-30 10:00:00,320.0,4.6,11265.0,2.2,1.1,1004.4,213.0
2023-12-30 09:00:00,330.0,4.6,8023.5,2.8,2.2,1004.1,213.0
2023-12-30 08:00:00,320.0,3.6,16093.0,3.3,2.2,1004.1,213.0
2023-12-30 07:00:00,250.0,1.5,4828.0,2.8,2.8,1003.7,213.0
2023-12-30 06:00:00,210.0,3.43,6958.33,3.53,2.6,1003.7,213.0
2023-12-30 05:00:00,250.0,4.1,8047.0,3.3,2.2,1004.4,213.0
2023-12-30 04:00:00,250.0,5.7,6437.0,3.3,2.2,1004.7,244.0
2023-12-30 03:00:00,246.67,5.1,12177.0,3.7,0.97,1004.7,411.5
2023-12-30 02:00:00,235.0,5.4,16093.0,3.9,-0.3,1005.1,899.0
2023-12-30 01:00:00,240.0,6.7,16093.0,3.9,-0.6,1005.4,1097.0
2023-12-30 00:00:00,240.0,6.7,16046.5,3.9,-0.6,1005.8,1311.0
2023-12-29 23:00:00,230.0,7.2,16093.0,3.9,-1.1,1005.8,1372.0
2023-12-29 22:00:00,240.0,8.8,16093.0,3.9,-0.6,1005.4,1402.0
2023-12-29 21:00:00,240.0,6.7,16046.5,4.4,0.6,1005.4,1402.0
2023-12-29 20:00:00,235.0,9.3,16093.0,4.15,0.6,1005.1,960.0
2023-12-29 19:00:00,240.0,8.8,16093.0,3.9,0.6,1005.1,457.0
2023-12-29 18:00:00,230.0,7.53,16062.0,4.27,0.73,1005.4,457.0
2023-12-29 17:00:00,235.0,7.2,16093.0,4.15,1.4,1005.8,945.0
2023-12-29 16:00:00,240.0,6.2,16093.0,5.6,2.2,1006.4,1494.0
2023-12-29 15:00:00,240.0,4.1,16046.5,5.0,2.2,1006.8,1494.0
2023-12-29 14:00:00,250.0,5.1,16093.0,4.4,3.3,1006.8,1524.0
2023-12-29 13:00:00,240.0,6.2,16093.0,4.4,2.8,1006.4,1524.0
2023-12-29 12:00:00,240.0,5.7,12437.5,5.0,3.9,1006.4,1494.0
2023-12-29 11:00:00,230.0,4.6,14484.0,5.0,3.9,1006.4,1463.0
2023-12-29 10:00:00,226.67,4.43,15556.67,5.0,4.27,1006.4,660.33
2023-12-29 09:00:00,240.0,4.1,16046.5,5.6,4.4,1006.8,1189.0
2023-12-29 08:00:00,250.0,5.15,16093.0,5.6,4.7,1006.8,777.5
2023-12-29 07:00:00,240.0,4.85,16093.0,5.6,5.3,1006.4,137.0
2023-12-29 06:00:00,240.0,4.97,4818.67,5.6,5.6,1006.1,61.0
2023-12-29 05:00:00,235.0,4.85,3822.0,5.85,5.85,1006.4,61.0
2023-12-29 04:00:00,240.0,5.7,4828.0,6.1,6.1,1006.8,91.0
2023-12-29 03:00:00,227.5,3.72,4218.5,6.4,6.4,1006.8,81.33
2023-12-29 02:00:00,240.0,4.6,6437.0,6.7,6.7,1006.8,122.0
2023-12-29 01:00:00,243.33,5.87,5364.33,6.7,6.7,1006.8,132.0
2023-12-29 00:00:00,310.0,0.38,3414.0,7.8,7.35,1006.8,81.0
2023-12-28 23:00:00,,0.0,1609.0,7.8,7.8,1006.4,61.0
2023-12-28 22:00:00,30.0,2.6,1609.0,7.8,7.8,1006.1,61.0
2023-12-28 21:00:00,30.0,2.6,16046.5,8.3,8.3,1006.1,152.0
2023-12-28 20:00:00,40.0,3.35,8046.5,8.9,8.3,1005.6,152.0
2023-12-28 19:00:00,36.67,2.93,2280.0,8.93,8.6,1005.8,142.0
2023-12-28 18:00:00,42.5,2.98,3616.75,8.9,8.45,1006.0,152.0
2023-12-28 17:00:00,47.5,3.1,2916.75,8.93,8.93,1006.32,152.25
