DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,,0.5,5000.0,2.0,1.0,1007.0,22000.0
2023-12-31 23:00:00,95.0,1.25,4000.0,2.0,1.2,1007.0,22000.0
2023-12-31 22:00:00,47.5,1.78,7225.0,2.6,1.7,1007.0,22000.0
2023-12-31 21:00:00,20.0,2.05,9950.0,2.1,1.25,1007.0,
2023-12-31 20:00:00,27.5,2.58,11175.0,3.02,1.8,1007.0,22000.0
2023-12-31 19:00:00,35.0,2.8,14999.5,2.95,1.95,1008.0,22000.0
2023-12-31 18:00:00,42.5,2.95,12499.25,3.8,2.68,1008.0,1290.33
2023-12-31 17:00:00,45.0,2.8,17499.5,3.95,2.3,1009.0,1524.0
2023-12-31 16:00:00,37.5,2.7,14999.25,4.97,3.02,1009.0,1402.33
2023-12-31 15:00:00,45.0,4.05,19999.5,5.0,3.15,1010.0,1524.0
2023-12-31 14:00:00,47.5,4.32,14999.25,5.98,3.4,1010.33,1524.0
2023-12-31 13:00:00,40.0,3.8,19999.5,6.75,4.0,1011.0,
2023-12-31 12:00:00,50.0,2.95,14949.75,6.08,3.82,1011.67,
2023-12-31 11:00:00,35.0,1.75,14950.0,4.95,4.25,1013.0,
2023-12-31 10:00:00,47.5,2.08,8950.0,3.32,3.0,1013.67,22000.0
2023-12-31 09:00:00,35.0,2.05,4100.0,0.85,0.3,1014.0,22000.0
2023-12-31 08:00:00,46.67,1.38,1675.0,-0.12,-0.9,1015.0,30.0
2023-12-31 07:00:00,40.0,1.5,425.0,-1.3,-1.85,1015.0,
2023-12-31 06:00:00,50.0,1.65,362.5,-1.02,-1.3,1016.0,22000.0
2023-12-31 05:00:00,30.0,1.5,650.0,-1.15,-1.3,1016.0,22000.0
2023-12-31 04:00:00,30.0,0.67,450.0,0.33,-0.33,1016.0,22000.0
2023-12-31 03:00:00,,0.25,375.0,1.6,0.95,1016.0,
2023-12-31 02:00:00,166.67,0.5,3000.0,2.35,2.25,1016.33,803.0
2023-12-31 01:00:00,230.0,1.25,3650.0,2.85,2.15,1016.0,914.0
2023-12-31 00:00:00,190.0,0.38,5450.0,3.0,2.4,1016.33,873.33
2023-12-30 23:00:00,,0.5,5000.0,2.9,2.2,1017.0,1158.0
2023-12-30 22:00:00,230.0,1.38,7750.0,3.08,2.68,1016.0,
2023-12-30 21:00:00,205.0,2.3,14999.5,4.2,3.2,1016.0,
2023-12-30 20:00:00,260.0,2.68,12499.5,5.35,3.98,1016.0,1320.67
2023-12-30 19:00:00,275.0,1.75,4250.0,4.9,4.1,1016.0,914.0
2023-12-30 18:00:00,130.0,1.12,8999.75,5.0,4.08,1015.33,1503.67
2023-12-30 17:00:00,,0.5,12499.5,5.0,4.05,1015.0,1402.0
2023-12-30 16:00:00,206.67,2.3,14999.25,5.05,3.95,1015.0,1569.5
2023-12-30 15:00:00,225.0,5.85,19999.5,5.9,3.25,1014.0,1311.0
2023-12-30 14:00:00,267.5,7.9,7499.75,6.22,3.48,1014.0,924.33
2023-12-30 13:00:00,255.0,8.85,8999.5,6.8,3.8,1014.0,1219.0
2023-12-30 12:00:00,285.0,8.43,17499.25,8.38,3.68,1013.33,1320.67
2023-12-30 11:00:00,240.0,11.4,29999.5,10.95,3.0,1013.0,1615.0
2023-12-30 10:00:00,237.5,9.73,19999.25,10.38,3.02,1012.33,
2023-12-30 09:00:00,230.0,8.1,29999.5,9.85,3.0,1013.0,22000.0
2023-12-30 08:00:00,225.0,4.85,19999.25,8.25,2.98,1012.0,
2023-12-30 07:00:00,220.0,5.3,29999.5,7.85,2.2,1012.0,
2023-12-30 06:00:00,232.5,5.88,19999.25,6.9,2.78,1011.33,1311.0
2023-12-30 05:00:00,240.0,1.5,6950.0,3.05,0.65,1011.0,
2023-12-30 04:00:00,246.67,2.15,17449.75,3.5,1.0,1011.0,
2023-12-30 03:00:00,230.0,1.25,24950.0,1.9,0.6,1011.0,
2023-12-30 02:00:00,256.67,1.38,17474.5,3.35,1.4,1012.0,
2023-12-30 01:00:00,250.0,1.5,24999.5,4.85,1.95,1012.0,22000.0
2023-12-30 00:00:00,220.0,1.78,17474.5,6.45,2.68,1012.0,
2023-12-29 23:00:00,275.0,2.8,22499.5,5.85,1.9,1013.0,
2023-12-29 22:00:00,237.5,2.82,14999.25,7.08,3.05,1013.0,1311.0
2023-12-29 21:00:00,220.0,2.0,17499.5,7.1,2.95,1013.0,1311.0
2023-12-29 20:00:00,215.0,1.67,14999.25,7.25,2.98,1013.0,1483.33
2023-12-29 19:00:00,195.0,2.05,22499.5,7.65,2.2,1013.0,1402.0
2023-12-29 18:00:00,205.0,1.92,16249.25,7.3,2.02,1013.0,1402.0
2023-12-29 17:00:00,205.0,2.55,22450.0,7.8,2.05,1013.0,
2023-12-29 16:00:00,230.0,3.82,17425.0,8.0,2.35,1013.0,
2023-12-29 15:00:00,225.0,5.85,29950.0,9.05,2.95,1013.0,
2023-12-29 14:00:00,240.0,7.18,19974.5,10.0,3.08,1013.0,
2023-12-29 13:00:00,245.0,8.9,29999.5,10.75,3.25,1013.0,
2023-12-29 12:00:00,240.0,7.15,19999.25,11.0,3.85,1013.0,
2023-12-29 11:00:00,235.0,6.85,29999.5,10.95,4.05,1013.0,
2023-12-29 10:00:00,237.5,7.28,19999.25,10.65,4.03,1013.67,
2023-12-29 09:00:00,230.0,5.55,24999.5,10.25,4.8,1014.0,
2023-12-29 08:00:00,227.5,4.2,17474.5,8.0,4.2,1014.0,1006.0
2023-12-29 07:00:00,225.0,2.55,19999.5,5.85,3.35,1014.0,914.0
2023-12-29 06:00:00,10.0,1.0,11249.25,3.92,2.75,1014.0,1046.67
2023-12-29 05:00:00,270.0,1.25,8000.0,2.95,2.65,1014.0,
