DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,,1.0,9900.0,4.0,3.0,1019.0,
2023-12-31 23:00:00,30.0,1.25,14950.0,4.9,3.25,1019.0,
2023-12-31 22:00:00,93.33,1.27,12425.0,5.8,4.47,1019.0,
2023-12-31 21:00:00,120.0,0.5,19950.0,6.7,4.25,1019.0,
2023-12-31 20:00:00,220.0,1.8,14925.0,7.6,4.85,1019.0,
2023-12-31 19:00:00,220.0,2.6,19950.0,7.9,5.2,1019.0,
2023-12-31 18:00:00,232.5,3.85,14925.0,8.3,6.0,1018.33,
2023-12-31 17:00:00,235.0,3.35,19950.0,8.05,5.2,1018.0,22000.0
2023-12-31 16:00:00,222.5,3.48,13975.0,9.32,5.98,1017.33,22000.0
2023-12-31 15:00:00,240.0,4.85,16000.0,10.2,6.2,1017.0,1372.0
2023-12-31 14:00:00,235.0,4.1,13500.0,10.32,6.62,1017.33,1219.0
2023-12-31 13:00:00,240.0,5.4,14000.0,10.2,6.25,1018.0,22000.0
2023-12-31 12:00:00,242.5,6.2,10750.0,10.05,6.08,1018.33,1879.67
2023-12-31 11:00:00,240.0,7.95,18000.0,9.2,6.0,1019.0,1829.0
2023-12-31 10:00:00,222.5,4.0,10250.0,8.65,5.95,1019.0,1158.33
2023-12-31 09:00:00,180.0,2.6,9000.0,7.05,5.9,1018.0,366.0
2023-12-31 08:00:00,192.5,3.48,8500.0,6.92,5.03,1018.0,366.0
2023-12-31 07:00:00,210.0,5.1,11500.0,7.1,5.25,1017.0,457.0
2023-12-31 06:00:00,200.0,3.77,8000.0,7.0,5.0,1017.0,761.67
2023-12-31 05:00:00,200.0,2.6,11500.0,6.9,5.7,1017.0,914.0
2023-12-31 04:00:00,160.0,1.95,11000.0,5.03,3.65,1017.67,1727.33
2023-12-31 03:00:00,165.0,2.6,7000.0,4.8,3.05,1018.0,2134.0
2023-12-31 02:00:00,186.67,2.2,8250.0,4.38,2.7,1018.0,2134.0
2023-12-31 01:00:00,130.0,1.25,8500.0,3.95,2.3,1018.0,2134.0
2023-12-31 00:00:00,153.33,2.6,13332.67,4.2,2.73,1019.0,
2023-12-30 23:00:00,175.0,1.8,14999.5,4.8,2.85,1019.0,
2023-12-30 22:00:00,160.0,2.48,12499.25,6.35,3.5,1019.0,
2023-12-30 21:00:00,145.0,1.8,19999.5,5.95,2.45,1019.0,22000.0
