DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,170.0,1.8,16093.0,3.3,0.6,1013.35,594.5
2023-12-31 23:00:00,180.0,2.6,16093.0,3.3,0.6,1013.2,366.0
2023-12-31 22:00:00,175.0,2.05,16093.0,3.3,0.3,1012.7,442.0
2023-12-31 21:00:00,170.0,2.1,16046.5,3.9,0.0,1012.5,488.0
2023-12-31 20:00:00,150.0,2.6,16093.0,3.9,0.0,1012.5,549.0
2023-12-31 19:00:00,160.0,3.1,12070.0,3.3,0.0,1012.7,579.5
2023-12-31 18:00:00,203.33,4.6,14242.0,3.3,-1.1,1013.2,579.5
2023-12-31 17:00:00,205.0,4.6,15288.5,3.3,-1.95,1014.4,640.0
2023-12-31 16:00:00,200.0,3.1,16093.0,3.3,,1014.9,1006.0
2023-12-31 15:00:00,190.0,4.1,16046.5,2.8,-2.2,1014.6,1097.0
2023-12-31 14:00:00,200.0,4.1,16093.0,2.2,-2.2,1014.6,1036.0
2023-12-31 13:00:00,190.0,3.1,16093.0,2.2,-2.8,1014.6,1036.0
2023-12-31 12:00:00,190.0,2.6,16046.5,2.2,-2.2,1014.6,945.0
2023-12-31 11:00:00,220.0,3.1,16093.0,2.2,-2.8,1014.2,823.0
2023-12-31 10:00:00,250.0,4.6,16093.0,2.8,-2.8,1014.6,701.0
2023-12-31 09:00:00,230.0,2.1,16046.5,2.2,-1.7,1014.6,792.0
2023-12-31 08:00:00,230.0,1.5,16093.0,2.2,-2.2,1014.2,823.0
2023-12-31 07:00:00,245.0,2.6,16093.0,2.2,-2.2,1013.9,883.5
2023-12-31 06:00:00,210.0,2.1,16046.5,2.2,-2.2,1013.9,1006.0
2023-12-31 05:00:00,250.0,2.6,16093.0,2.2,-2.2,1013.9,1067.0
2023-12-31 04:00:00,240.0,2.1,16093.0,2.2,-2.2,1013.5,1036.0
