DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,30.0,7.7,9999.0,23.0,17.0,1023.0,1067.0
2023-12-31 23:00:00,36.67,3.97,9999.0,22.83,18.17,1023.0,945.0
2023-12-31 22:00:00,287.5,2.32,13749.25,21.3,18.95,1023.0,1188.67
2023-12-31 21:00:00,300.0,2.1,9999.0,20.1,18.95,1023.0,1067.0
2023-12-31 20:00:00,270.0,2.48,9999.0,19.68,18.68,1022.33,884.0
2023-12-31 19:00:00,300.0,3.1,9999.67,19.07,18.07,1021.5,579.5
2023-12-31 18:00:00,80.0,4.96,7499.5,19.4,18.0,1021.0,777.25
2023-12-31 17:00:00,80.0,6.7,9999.0,19.05,17.8,1021.0,792.0
2023-12-31 16:00:00,53.33,3.78,7666.33,19.23,17.17,1022.0,865.8
2023-12-31 15:00:00,10.0,5.7,9999.0,20.15,17.05,1022.0,1036.0
2023-12-31 14:00:00,85.0,4.35,9999.0,21.08,15.3,1022.33,1523.67
2023-12-31 13:00:00,80.0,3.6,9999.0,21.15,15.2,1023.0,1676.0
2023-12-31 12:00:00,85.0,4.1,9999.0,21.28,14.55,1023.0,1463.33
2023-12-31 11:00:00,100.0,3.6,9999.0,21.85,13.8,1023.0,1524.0
2023-12-31 10:00:00,62.5,4.22,13749.25,21.0,12.98,1023.0,1198.67
2023-12-31 09:00:00,90.0,5.7,9999.0,21.05,13.15,1022.0,1158.0
2023-12-31 08:00:00,122.5,4.38,9999.0,20.92,14.02,1021.67,1239.33
2023-12-31 07:00:00,110.0,3.6,17499.5,21.05,13.9,1021.0,1219.0
2023-12-31 06:00:00,110.0,3.48,9999.0,21.02,13.32,1021.0,1107.33
2023-12-31 05:00:00,120.0,4.1,9999.0,21.05,13.75,1021.0,1158.0
2023-12-31 04:00:00,105.0,4.88,13749.25,21.08,13.68,1021.0,1056.33
2023-12-31 03:00:00,130.0,4.6,9999.0,21.15,13.1,1021.0,1158.0
2023-12-31 02:00:00,132.5,4.72,9999.0,21.0,13.1,1021.0,1056.33
2023-12-31 01:00:00,130.0,5.1,14999.5,20.8,13.8,1021.0,1097.0
2023-12-31 00:00:00,147.5,5.95,9999.0,20.68,13.48,1021.0,1137.67
2023-12-30 23:00:00,150.0,4.6,9999.0,20.15,12.9,1021.0,1219.0
2023-12-30 22:00:00,137.5,5.52,11999.25,19.92,13.35,1020.33,1097.0
2023-12-30 21:00:00,140.0,5.1,9999.0,19.95,12.85,1020.0,1036.0
2023-12-30 20:00:00,142.5,6.05,9999.0,19.92,13.1,1019.0,1056.33
2023-12-30 19:00:00,150.0,6.7,14999.5,19.15,13.75,1018.0,1036.0
2023-12-30 18:00:00,142.5,5.7,9999.0,19.02,14.28,1017.33,1056.33
2023-12-30 17:00:00,150.0,7.2,9999.0,18.75,14.9,1017.0,975.0
2023-12-30 16:00:00,135.0,5.25,9999.0,17.88,15.92,1017.0,1422.33
2023-12-30 15:00:00,142.0,6.6,6999.75,17.28,15.98,1017.0,1021.0
2023-12-30 14:00:00,147.5,6.95,9333.0,18.32,16.02,1017.0,711.33
2023-12-30 13:00:00,150.0,6.7,9000.0,19.05,15.9,1017.0,792.0
2023-12-30 12:00:00,115.0,7.58,8333.0,19.52,15.35,1016.0,995.67
2023-12-30 11:00:00,100.0,7.2,9999.0,20.2,14.75,1015.0,914.0
2023-12-30 10:00:00,113.33,8.4,14999.33,21.83,13.97,1014.5,1143.0
2023-12-30 09:00:00,110.0,7.7,9999.0,21.2,14.8,1013.0,1372.0
2023-12-30 08:00:00,122.5,9.05,9999.0,22.25,15.35,1011.67,1138.33
2023-12-30 07:00:00,120.0,8.2,30000.0,22.8,15.4,,
2023-12-30 06:00:00,125.0,9.3,9999.0,24.25,16.7,1009.33,884.0
2023-12-30 05:00:00,130.0,7.7,9999.0,25.2,16.0,1009.0,
2023-12-30 04:00:00,127.5,7.58,14999.25,24.8,15.92,1009.0,7328.5
2023-12-30 03:00:00,130.0,7.2,9999.0,24.2,15.8,1009.0,2438.0
2023-12-30 02:00:00,120.0,7.08,9999.0,24.9,12.72,1009.33,2438.0
2023-12-30 01:00:00,130.0,6.7,19999.5,24.05,14.75,1010.0,22000.0
2023-12-30 00:00:00,135.0,4.5,9999.0,24.02,14.95,1010.33,
2023-12-29 23:00:00,150.0,2.6,9999.0,22.9,14.95,1011.0,
2023-12-29 22:00:00,182.5,2.72,14999.25,21.58,14.8,1010.67,22000.0
2023-12-29 21:00:00,190.0,3.1,9999.0,21.1,16.0,1011.0,
2023-12-29 20:00:00,205.0,4.75,9999.0,20.62,14.9,1010.0,
2023-12-29 19:00:00,210.0,8.8,19999.5,20.0,14.9,1009.0,22000.0
2023-12-29 18:00:00,190.0,6.08,9999.0,20.38,15.08,1008.67,22000.0
2023-12-29 17:00:00,170.0,5.7,9999.0,20.85,15.75,1008.0,22000.0
2023-12-29 16:00:00,230.0,2.17,9999.0,19.88,16.3,1008.0,22000.0
2023-12-29 15:00:00,190.0,2.6,9999.0,20.75,16.15,1008.0,22000.0
2023-12-29 14:00:00,195.0,2.72,9999.0,21.0,17.3,1008.33,22000.0
