DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,,0.0,9900.0,15.0,11.0,1021.0,
2023-12-31 23:00:00,90.0,1.5,9900.0,15.0,11.0,1021.0,
2023-12-31 22:00:00,93.33,1.9,9900.0,15.33,11.0,1021.0,
2023-12-31 21:00:00,90.0,2.1,9950.0,16.0,11.2,1021.0,
2023-12-31 20:00:00,60.0,1.9,9900.0,16.67,11.0,1021.33,
2023-12-31 19:00:00,30.0,3.1,9900.0,18.0,11.0,1021.0,
2023-12-31 18:00:00,17.5,3.6,6000.0,18.3,11.32,1021.0,22000.0
2023-12-31 17:00:00,20.0,2.6,6000.0,19.0,12.0,1021.0,22000.0
2023-12-31 16:00:00,233.33,2.6,6000.0,19.67,12.0,1020.0,22000.0
2023-12-31 15:00:00,340.0,2.6,6000.0,20.2,11.95,1019.0,22000.0
2023-12-31 14:00:00,323.33,2.27,6000.0,20.67,11.33,1019.0,2134.0
2023-12-31 13:00:00,350.0,2.6,6000.0,21.0,11.0,1019.0,2134.0
2023-12-31 12:00:00,330.0,2.7,6000.0,20.32,11.05,1019.67,762.0
2023-12-31 11:00:00,270.0,2.6,4000.0,19.0,12.0,1020.0,6096.0
2023-12-31 10:00:00,336.67,2.9,3333.33,19.0,14.67,1020.67,6096.0
2023-12-31 09:00:00,330.0,3.1,1500.0,16.95,15.8,1022.0,2134.0
2023-12-31 08:00:00,303.33,2.27,1300.0,16.0,16.0,1022.0,22000.0
2023-12-31 07:00:00,,0.0,1200.0,15.0,15.0,1022.0,22000.0
2023-12-31 06:00:00,,0.0,1200.0,14.32,14.32,1021.0,22000.0
2023-12-31 05:00:00,,0.0,1200.0,14.0,14.0,1021.0,
2023-12-31 04:00:00,,0.0,1450.0,14.5,14.0,1020.5,
2023-12-31 03:00:00,,0.0,1500.0,13.7,13.2,1020.0,22000.0
2023-12-31 02:00:00,240.0,0.67,1833.33,14.67,14.0,1020.0,762.0
2023-12-31 01:00:00,,0.0,1300.0,15.0,14.0,1020.0,762.0
2023-12-31 00:00:00,340.0,1.38,1550.0,15.92,14.9,1020.33,762.0
2023-12-30 23:00:00,340.0,1.5,4000.0,16.0,15.0,1021.0,762.0
2023-12-30 22:00:00,330.0,1.9,2666.67,16.33,14.33,1021.0,762.0
2023-12-30 21:00:00,,0.0,6000.0,16.9,14.05,1021.0,22000.0
2023-12-30 20:00:00,45.0,0.83,9900.0,17.0,14.0,1020.67,
2023-12-30 19:00:00,50.0,2.6,9900.0,18.0,14.0,1020.0,
2023-12-30 18:00:00,47.5,4.1,9999.25,18.35,14.08,1020.0,22000.0
2023-12-30 17:00:00,40.0,4.1,9999.0,19.0,14.0,1020.0,
2023-12-30 16:00:00,123.33,4.27,9999.0,19.67,14.0,1021.0,
2023-12-30 15:00:00,350.0,4.1,9999.5,20.85,13.8,1021.0,22000.0
2023-12-30 14:00:00,23.33,4.6,9999.0,21.0,12.67,1020.0,
