DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,240.0,6.7,9999.0,9.0,5.0,995.0,914.0
2023-12-31 23:00:00,240.0,6.95,9999.0,9.0,5.0,994.5,1310.5
2023-12-31 22:00:00,240.0,7.95,9999.0,8.5,5.0,993.5,990.5
2023-12-31 21:00:00,240.0,7.7,9999.0,9.0,4.5,993.0,838.5
2023-12-31 20:00:00,240.0,6.7,9999.0,8.5,4.5,992.0,1295.5
2023-12-31 19:00:00,240.0,7.95,9999.0,9.0,4.0,991.5,1006.0
2023-12-31 18:00:00,235.0,7.2,8999.5,9.0,5.0,990.5,1249.5
2023-12-31 17:00:00,235.0,5.15,9999.0,8.0,5.0,990.0,1189.0
2023-12-31 16:00:00,235.0,6.2,9999.0,9.0,5.0,989.5,1188.5
2023-12-31 15:00:00,235.0,6.95,9999.0,10.0,4.0,988.0,1311.0
2023-12-31 14:00:00,230.0,7.95,9999.0,10.5,5.0,987.0,1280.5
2023-12-31 13:00:00,235.0,6.45,9999.0,10.0,5.5,988.0,990.5
2023-12-31 12:00:00,225.0,5.9,9999.0,9.0,5.5,988.0,1082.0
2023-12-31 11:00:00,210.0,5.4,9999.0,8.5,6.0,988.0,1265.0
2023-12-31 10:00:00,210.0,5.95,7249.5,8.5,5.0,988.5,1036.0
2023-12-31 09:00:00,200.0,4.6,9999.0,8.0,5.0,988.0,11579.0
2023-12-31 08:00:00,210.0,4.85,9999.0,7.0,4.0,988.0,22000.0
2023-12-31 07:00:00,225.0,4.9,9999.0,7.0,4.0,988.0,22000.0
2023-12-31 06:00:00,230.0,8.75,9999.0,7.5,4.0,987.0,579.0
2023-12-31 05:00:00,205.0,7.2,9999.0,9.0,6.0,986.0,625.0
2023-12-31 04:00:00,185.0,5.1,9499.5,9.0,7.0,987.0,610.0
2023-12-31 03:00:00,175.0,4.85,9999.0,8.0,7.0,988.5,883.5
2023-12-31 02:00:00,190.0,5.7,9999.0,8.0,6.0,989.0,899.5
2023-12-31 01:00:00,185.0,8.0,7999.5,10.5,7.0,990.0,1097.5
2023-12-31 00:00:00,170.0,8.5,9999.0,12.0,8.0,990.5,808.0
2023-12-30 23:00:00,175.0,8.5,9999.0,12.0,8.0,992.5,640.5
2023-12-30 22:00:00,180.0,8.25,9999.0,12.0,8.0,994.5,625.0
2023-12-30 21:00:00,180.0,6.95,7499.5,12.0,8.5,996.0,609.5
2023-12-30 20:00:00,185.0,5.95,9999.0,12.0,9.0,997.5,518.5
2023-12-30 19:00:00,195.0,6.7,9999.0,12.0,8.5,998.5,853.0
2023-12-30 18:00:00,185.0,5.95,8999.5,11.5,9.0,999.5,579.5
2023-12-30 17:00:00,195.0,6.2,9999.0,12.0,9.0,1000.5,625.0
2023-12-30 16:00:00,195.0,5.1,7999.5,12.0,8.5,1002.0,716.5
2023-12-30 15:00:00,195.0,4.85,9999.0,12.0,8.0,1003.0,899.0
2023-12-30 14:00:00,200.0,6.95,9999.0,12.0,8.0,1004.0,1295.5
2023-12-30 13:00:00,200.0,5.9,9999.0,12.0,8.0,1005.0,792.5
2023-12-30 12:00:00,205.0,4.85,9999.0,11.5,8.0,1006.5,472.5
2023-12-30 11:00:00,200.0,5.1,8999.5,11.0,8.0,1007.5,487.5
2023-12-30 10:00:00,200.0,5.15,9999.0,11.0,8.0,1008.0,487.5
2023-12-30 09:00:00,180.0,3.6,9999.0,10.0,7.5,1008.5,457.0
2023-12-30 08:00:00,180.0,3.85,9999.0,9.0,6.5,1009.5,1387.0
2023-12-30 07:00:00,,2.05,9999.0,8.5,5.5,1010.0,1051.5
2023-12-30 06:00:00,200.0,1.55,9999.0,8.0,4.5,1010.0,1280.0
2023-12-30 05:00:00,225.0,1.5,9999.0,7.0,4.0,1011.0,22000.0
2023-12-30 04:00:00,220.0,2.6,9999.0,7.0,4.0,1011.0,22000.0
2023-12-30 03:00:00,240.0,3.35,9999.0,7.0,4.0,1012.0,22000.0
2023-12-30 02:00:00,235.0,4.1,9999.0,7.0,4.0,1011.5,22000.0
2023-12-30 01:00:00,240.0,5.4,9999.0,7.0,4.0,1011.0,22000.0
2023-12-30 00:00:00,240.0,5.4,9999.0,7.0,4.0,1011.0,22000.0
2023-12-29 23:00:00,245.0,5.15,9999.0,7.5,4.0,1010.0,22000.0
2023-12-29 22:00:00,250.0,5.7,9999.0,8.0,4.0,1010.0,22000.0
2023-12-29 21:00:00,245.0,6.2,9999.0,8.0,4.0,1010.0,22000.0
2023-12-29 20:00:00,250.0,6.2,9999.0,9.0,4.0,1009.0,22000.0
2023-12-29 19:00:00,250.0,7.45,9999.0,9.0,4.0,1008.5,22000.0
2023-12-29 18:00:00,255.0,8.0,9999.0,10.0,4.0,1008.0,1036.0
2023-12-29 17:00:00,250.0,8.25,9999.0,11.0,4.0,1007.0,
2023-12-29 16:00:00,255.0,6.65,9999.0,10.5,5.0,1007.0,1143.0
2023-12-29 15:00:00,260.0,6.95,9999.0,10.0,6.0,1006.5,960.0
2023-12-29 14:00:00,290.0,4.85,9999.0,9.5,5.0,1006.0,1082.0
2023-12-29 13:00:00,250.0,8.25,9999.0,11.5,5.5,1005.0,1006.0
2023-12-29 12:00:00,240.0,5.9,9999.0,11.5,6.5,1006.0,838.0
2023-12-29 11:00:00,240.0,5.1,9999.0,11.0,7.0,1006.5,807.5
2023-12-29 10:00:00,235.0,6.2,9999.0,10.5,6.0,1007.0,22000.0
2023-12-29 09:00:00,240.0,5.7,9999.0,10.0,6.0,1007.0,792.0
2023-12-29 08:00:00,250.0,6.95,9999.0,10.0,6.5,1006.0,807.5
2023-12-29 07:00:00,250.0,7.7,9999.0,11.0,6.0,1006.0,1189.0
2023-12-29 06:00:00,250.0,7.75,9999.0,11.0,6.5,1005.0,1189.0
2023-12-29 05:00:00,240.0,6.45,9999.0,11.0,7.0,1005.0,1158.5
