DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,20.0,2.1,16093.0,13.3,10.2,1018.6,2286.0
2023-12-31 23:00:00,30.0,2.1,16093.0,13.9,9.4,1018.6,2286.0
2023-12-31 22:00:00,,1.5,16093.0,13.3,9.4,1018.6,1006.0
2023-12-31 21:00:00,50.0,2.6,16046.5,13.9,10.6,1019.0,4572.0
2023-12-31 20:00:00,80.0,3.1,16093.0,12.8,10.6,1019.6,4267.0
2023-12-31 19:00:00,90.0,2.1,16093.0,12.8,10.0,1020.3,4267.0
2023-12-31 18:00:00,,0.0,16046.5,12.2,9.4,1020.3,4267.0
2023-12-31 17:00:00,170.0,1.5,16093.0,11.1,8.9,1020.0,4572.0
2023-12-31 16:00:00,100.0,1.5,16093.0,10.6,8.3,1019.3,4572.0
2023-12-31 15:00:00,,0.0,16046.5,10.6,8.3,1019.0,4572.0
2023-12-31 14:00:00,160.0,2.6,16093.0,10.6,8.3,1019.0,1006.0
2023-12-31 13:00:00,,0.0,16093.0,10.0,7.8,1019.0,6096.0
2023-12-31 12:00:00,,0.0,16062.0,10.0,7.8,1019.0,3490.0
2023-12-31 11:00:00,220.0,0.75,16093.0,10.0,7.5,1019.3,3490.0
2023-12-31 10:00:00,260.0,1.5,16093.0,10.0,7.8,1019.3,6096.0
2023-12-31 09:00:00,286.67,1.9,16062.0,10.37,7.97,1019.45,22000.0
2023-12-31 08:00:00,220.0,1.2,16093.0,11.7,8.7,1019.6,14890.33
2023-12-31 07:00:00,190.0,2.1,16093.0,11.7,8.9,1020.0,701.0
2023-12-31 06:00:00,170.0,0.52,16069.75,12.5,9.4,1020.0,11350.5
2023-12-31 05:00:00,285.0,2.07,16093.0,12.8,9.4,1020.3,7780.33
2023-12-31 04:00:00,280.0,4.1,16093.0,13.3,9.4,1020.0,22000.0
2023-12-31 03:00:00,267.5,4.35,16069.75,13.23,10.0,1019.6,7658.67
2023-12-31 02:00:00,270.0,4.1,16093.0,13.3,10.0,1019.0,22000.0
2023-12-31 01:00:00,260.0,5.1,16093.0,13.9,10.0,1019.0,22000.0
2023-12-31 00:00:00,280.0,5.7,16046.5,15.0,10.6,1018.6,22000.0
2023-12-30 23:00:00,270.0,5.7,16093.0,15.6,10.6,1018.3,22000.0
2023-12-30 22:00:00,290.0,6.2,16093.0,15.6,11.1,1017.9,640.0
2023-12-30 21:00:00,290.0,4.6,16046.5,16.1,11.7,1018.3,823.0
2023-12-30 20:00:00,300.0,4.85,14484.0,15.6,11.4,1018.6,533.5
2023-12-30 19:00:00,305.0,5.4,12874.5,14.15,11.7,1019.15,11198.0
2023-12-30 18:00:00,320.0,4.1,12437.5,14.4,12.2,1019.0,701.0
2023-12-30 17:00:00,,0.0,6437.0,13.3,11.7,1018.6,396.0
2023-12-30 16:00:00,,0.0,5632.5,12.8,11.1,1017.9,624.5
2023-12-30 15:00:00,230.0,2.6,16046.5,12.8,10.6,1017.3,884.0
2023-12-30 14:00:00,160.0,2.6,16093.0,12.2,10.6,1016.9,884.0
2023-12-30 13:00:00,146.67,2.93,16093.0,12.6,11.1,1016.5,924.33
2023-12-30 12:00:00,130.0,3.6,16046.5,12.8,11.1,1016.3,1219.0
2023-12-30 11:00:00,116.67,3.1,5632.67,12.8,11.1,1016.3,792.67
2023-12-30 10:00:00,130.0,4.35,12070.0,12.8,11.1,1016.1,472.5
2023-12-30 09:00:00,152.5,2.72,10040.75,13.3,11.25,1015.7,701.0
2023-12-30 08:00:00,135.0,3.1,16093.0,13.6,11.7,1015.6,945.0
2023-12-30 07:00:00,150.0,4.6,13679.5,13.6,11.1,1015.4,1310.5
2023-12-30 06:00:00,180.0,4.1,11176.67,13.2,11.07,1015.05,1265.0
2023-12-30 05:00:00,170.0,2.6,9656.0,13.15,11.05,1014.75,549.0
2023-12-30 04:00:00,135.0,2.85,11265.0,13.9,11.7,1014.4,1021.0
2023-12-30 03:00:00,140.0,3.27,12046.67,13.9,11.7,1013.9,1143.0
2023-12-30 02:00:00,160.0,2.6,12875.0,13.9,11.7,1013.5,1067.0
2023-12-30 01:00:00,90.0,1.5,11265.0,13.9,12.2,1013.5,1829.0
2023-12-30 00:00:00,310.0,0.21,4594.14,14.2,12.17,1013.57,899.17
2023-12-29 23:00:00,160.0,4.6,3218.5,15.7,12.85,1013.2,701.0
2023-12-29 22:00:00,166.67,5.83,16093.0,16.8,12.87,1013.2,853.33
2023-12-29 21:00:00,160.0,7.2,16046.5,16.7,12.2,1013.9,823.0
2023-12-29 20:00:00,165.0,7.2,16093.0,17.5,12.5,1014.6,975.5
