DATE,WND_DEG,WND_SPEED[m/s],VIS[m],TMP[C],DEW[C],AP[hPa],CIG[m]
2024-01-01 00:00:00,60.0,1.0,9900.0,-10.0,-12.0,1030.0,
2023-12-31 23:00:00,20.0,1.0,9900.0,-10.0,-12.0,1030.0,
2023-12-31 22:00:00,30.0,1.0,9900.0,-9.0,-11.0,1030.0,
2023-12-31 21:00:00,125.0,1.0,6750.0,-8.45,-10.55,1030.0,
2023-12-31 20:00:00,50.0,1.0,9900.0,-9.0,-11.0,1031.0,
2023-12-31 19:00:00,100.0,1.0,9900.0,-9.0,-11.0,1032.0,
2023-12-31 18:00:00,143.33,1.25,8675.0,-7.02,-10.02,1032.0,
2023-12-31 17:00:00,150.0,2.0,9900.0,-8.0,-11.0,1033.0,
2023-12-31 16:00:00,146.67,2.0,9900.0,-5.67,-10.33,1033.0,
2023-12-31 15:00:00,185.0,2.0,10450.0,-3.9,-10.3,1033.0,
2023-12-31 14:00:00,,1.0,9900.0,-5.33,-10.33,1033.0,
2023-12-31 13:00:00,170.0,2.0,9900.0,-5.0,-11.0,1033.0,
2023-12-31 12:00:00,172.5,1.75,10175.0,-3.25,-10.95,1033.0,
2023-12-31 11:00:00,140.0,2.0,9900.0,-2.0,-11.0,1033.0,
2023-12-31 10:00:00,133.33,1.67,9900.0,-1.67,-11.0,1032.67,
2023-12-31 09:00:00,130.0,1.0,18450.0,1.8,-11.85,1032.0,
2023-12-31 08:00:00,55.0,2.0,9900.0,3.67,-13.0,1032.0,
2023-12-31 07:00:00,30.0,3.0,9900.0,4.0,-12.0,1031.0,
2023-12-31 06:00:00,107.5,3.5,14925.0,4.05,-12.95,1031.33,
2023-12-31 05:00:00,10.0,4.0,9900.0,3.0,-13.0,1032.0,
2023-12-31 04:00:00,33.33,4.0,9900.0,2.33,-13.33,1032.0,
2023-12-31 03:00:00,30.0,4.0,19950.0,1.9,-13.2,1033.0,
2023-12-31 02:00:00,20.0,5.0,9900.0,0.33,-13.0,1032.67,
2023-12-31 01:00:00,20.0,5.0,9900.0,-1.0,-12.0,1032.0,
2023-12-31 00:00:00,30.0,2.75,13925.0,-1.58,-12.3,1030.67,
2023-12-30 23:00:00,10.0,4.0,9900.0,-2.0,-12.0,1029.0,
2023-12-30 22:00:00,130.0,2.67,9900.0,-3.33,-12.0,1028.33,
2023-12-30 21:00:00,170.0,4.5,19450.0,-0.4,-12.4,1027.0,
2023-12-30 20:00:00,310.0,4.67,9900.0,-0.67,-12.0,1026.67,
2023-12-30 19:00:00,310.0,5.0,9900.0,0.0,-13.0,1026.0,
2023-12-30 18:00:00,325.0,5.5,14175.0,1.1,-12.42,1025.33,
2023-12-30 17:00:00,300.0,5.0,9900.0,1.0,-12.0,1024.0,
2023-12-30 16:00:00,300.0,5.67,9900.0,1.67,-11.0,1023.67,
2023-12-30 15:00:00,320.0,2.5,16950.0,1.9,-10.55,1022.0,
2023-12-30 14:00:00,310.0,5.33,9900.0,3.0,-10.0,1022.0,
2023-12-30 13:00:00,280.0,6.0,9900.0,3.0,-9.0,1021.0,
2023-12-30 12:00:00,300.0,5.0,7775.0,3.28,-7.18,1020.33,
2023-12-30 11:00:00,290.0,8.0,9900.0,5.0,-6.0,1019.0,
2023-12-30 10:00:00,280.0,2.33,7000.0,0.67,-4.33,1018.0,22000.0
2023-12-30 09:00:00,230.0,0.5,4250.0,1.45,-4.4,1017.0,22000.0
2023-12-30 08:00:00,315.0,2.0,8000.0,4.0,-5.0,1016.0,22000.0
2023-12-30 07:00:00,310.0,3.0,8000.0,5.0,-5.0,1015.0,22000.0
2023-12-30 06:00:00,317.5,2.0,5575.0,3.82,-5.1,1015.0,22000.0
2023-12-30 05:00:00,330.0,2.0,7000.0,3.0,-6.0,1015.0,22000.0
2023-12-30 04:00:00,316.67,2.67,6000.0,2.0,-6.0,1015.33,22000.0
2023-12-30 03:00:00,250.0,1.5,3450.0,-0.6,-4.85,1016.0,22000.0
2023-12-30 02:00:00,235.0,1.67,3066.67,-2.0,-5.0,1016.0,22000.0
2023-12-30 01:00:00,150.0,1.0,3200.0,-5.0,-5.0,1016.0,22000.0
2023-12-30 00:00:00,10.0,0.75,2350.0,-7.45,-8.48,1016.0,22000.0
2023-12-29 23:00:00,,1.0,2500.0,-7.0,-8.0,1016.0,22000.0
2023-12-29 22:00:00,345.0,1.67,2000.0,-7.0,-8.33,1016.0,22000.0
2023-12-29 21:00:00,50.0,1.0,1350.0,-6.15,-7.65,1016.0,22000.0
2023-12-29 20:00:00,130.0,0.67,2200.0,-7.67,-8.67,1017.33,22000.0
2023-12-29 19:00:00,80.0,1.0,2500.0,-8.0,-9.0,1018.0,22000.0
2023-12-29 18:00:00,70.0,0.75,2050.0,-6.18,-7.52,1018.67,22000.0
2023-12-29 17:00:00,50.0,1.0,2800.0,-6.0,-7.0,1019.0,22000.0
2023-12-29 16:00:00,70.0,1.0,2800.0,-4.0,-5.67,1019.0,22000.0
2023-12-29 15:00:00,140.0,1.0,1900.0,-2.9,-4.75,1020.0,22000.0
2023-12-29 14:00:00,85.0,1.0,3166.67,-3.0,-5.0,1020.0,22000.0
2023-12-29 13:00:00,70.0,2.0,3500.0,-2.0,-5.0,1020.0,22000.0
2023-12-29 12:00:00,107.5,1.0,3275.0,-2.5,-4.82,1021.0,22000.0
2023-12-29 11:00:00,90.0,1.0,4000.0,-3.0,-5.0,1021.0,22000.0
2023-12-29 10:00:00,80.0,1.33,5000.0,-2.0,-5.0,1021.0,22000.0
2023-12-29 09:00:00,150.0,2.0,4250.0,-0.2,-5.2,1022.0,22000.0
2023-12-29 08:00:00,170.0,1.33,9900.0,1.67,-6.0,1022.0,
2023-12-29 07:00:00,,1.0,9900.0,2.0,-7.0,1022.0,
2023-12-29 06:00:00,165.0,1.5,8050.0,2.45,-6.45,1022.67,
2023-12-29 05:00:00,,1.0,9900.0,3.0,-7.0,1023.0,
2023-12-29 04:00:00,290.0,1.33,9900.0,1.33,-7.0,1024.67,
2023-12-29 03:00:00,230.0,1.0,6200.0,-0.85,-6.25,1026.0,
2023-12-29 02:00:00,,1.0,9900.0,-2.0,-6.33,1027.0,
2023-12-29 01:00:00,,0.0,9900.0,-5.0,-7.0,1027.0,
2023-12-29 00:00:00,60.0,0.75,7850.0,-9.38,-10.72,1026.67,
2023-12-28 23:00:00,,1.0,9900.0,-11.0,-12.0,1027.0,
2023-12-28 22:00:00,190.0,1.0,9900.0,-9.67,-10.67,1027.0,
2023-12-28 21:00:00,170.0,1.0,6050.0,-8.4,-9.6,1027.0,
2023-12-28 20:00:00,40.0,0.67,9900.0,-9.0,-10.33,1027.67,
2023-12-28 19:00:00,40.0,1.0,9900.0,-8.0,-10.0,1028.0,
